Transaction ID,Product ID,Quantity,Date
025c2a07-3529-44f1-b9f8-cf0677601ef0,FP987KS,3,2023-07-09
d68bb778-723f-4dfc-931d-a7d337e772b7,NF986OH,10,2023-07-11
1b004560-1101-4caf-a449-d12e776fea53,FP845OP,46,2023-07-13
0f5286dd-a730-46ab-9952-3ff6f966122b,FP845OP,48,2023-07-13
f6fc07f4-73dd-4230-8419-5201b2c6c822,NF456YG,2,2023-07-14
abb42491-a524-4486-bc15-d548b78ca3e8,NF456YG,2,2023-07-14
91e32af7-6efc-46c3-99c2-a378537a49fa,NF456YG,1,2023-07-14
13058f12-8b1c-49ac-b953-109cac77dd4e,NF456YG,2,2023-07-14
fdb5bcc7-e503-4cfa-85bc-a45721391583,NF456YG,7,2023-07-14
f3e3ae92-85d7-4cfd-9970-45536b189dcb,FP123LP,5,2023-07-16
2b26b3dc-2ae0-4f92-bbd0-c62a3728347d,FP123LP,2,2023-07-16
e17ec4db-f0fa-417d-8ce7-50d548dbf8c8,FP123LP,1,2023-07-16
bb1af87a-64ee-4004-bab5-19e6806aa16e,FP123LP,20,2023-07-16
20747fbf-c233-4483-b0a0-e46f1308225b,FP542TG,2,2023-07-16
c3ae938a-09be-4efe-af78-203317a28e0b,FP542TG,7,2023-07-16
844b06c6-9633-4a19-9a5b-e2d61148ada1,FP542TG,6,2023-07-16
6895ea81-8b75-4b3a-b1ea-8ae7c22ca6c4,FP542TG,12,2023-07-16
