Current Inventory Data
Product ID,Product Name,Quantity in stock,Cost price,Restock date,Quantity bought for restock,Retail price,Sold since restock,Expiration date
FP987KS,De Zaanse Hoeve Halfvolle melk 1lt,26,0.21,2023-07-09,23,0.99,0,2022-11-02
NF842FV,"Pampers Premium Protection Maat 4, x24 Luiers",13,3.29,2023-07-09,4,9.40,0,-
FP542TG,Uncle Ben's Long Grain Rice 500gr,44,0.39,2023-07-16,12,0.99,2,2024-05-22
FP123LP,JOZO Iodized Salt Fine 1kg,98,0.13,2023-07-09,154,0.98,8,-
NF654KJ,Edet Comfort 3-Laags 12 + 4 Gratis,150,4.32,2023-07-09,74,7.98,0,-
NF986OH,Paracetamol HTP 500mg,97,0.25,2023-07-09,79,1.31,0,2025-11-12
FP845OP,Hagelslag puur 600gr,6,0.79,2023-07-13,50,2.49,0,2023-07-20
FP845OP,Hagelslag puur 600gr,2,0.79,2023-07-13,2,2.49,0,2024-05-28
NF456YG,Marcel's Green Soap Wasmiddel 1Lt,36,5.10,2023-07-14,50,9.99,14,-
FP845OP,Hagelslag puur 600gr,25,0.79,2023-07-14,25,2.49,0,2023-07-13
FP447KT,Vrieslollies 10st,50,0.11,2023-07-18,50,0.99,0,2023-8-12
NF156OP,Duracell Alkaline Plus AA 6ce,150,2.31,2023-07-18,150,10.28,0,-
FP785YT,Zoete Puntpaprika 500g,35,0.21,2023-07-18,35,3.3,0,2023-9-07
FP156ER,Jumbo Mozzarella 220g,25,0.15,2023-07-18,25,3.0,0,2023-12-07
FP321SD,Goudse Kaas 48+ Geraspt Mild 250g,14,1.54,2023-07-18,14,3.36,0,2023-12-07
NF156UY,Mr Muscle Keukenreiniger Spray,20,1.65,2023-07-18,20,3.16,0,-
NF354ER,"Napoli Kookpan � 20 cm 3, 1L",50,13.59,2023-07-18,50,23.99,0,-

Buying Transactions Data
Transaction ID,Product ID,Quantity,Date
3b7e15c7-823d-498a-ad0b-70081c07536c,NF842FV,7,2023-07-09
4bdd272d-c89e-4c9a-81a4-879014f2df97,NF842FV,2,2023-07-09
0d910319-581f-4278-adb0-1470f4ebcb86,NF986OH,100,2023-07-11
f53d42f5-3056-421d-89f3-f59ac33e1216,FP845OP,50,2023-07-13
ac1c98cc-f5b9-497b-b786-878384fc07ea,FP845OP,2,2023-07-13
bce11d7a-8d6d-4bbb-9f18-cba49be26dda,FP845OP,25,2023-07-14
02bc94a6-9c50-47a7-a393-3a5a4dda1326,NF456YG,12,2023-07-14
1cff0bdf-937e-4e4c-a97d-59ac4027da00,FP542TG,5,2023-07-16
4b0d6f3c-feff-4999-aac5-bb60d98d9de8,FP542TG,10,2023-07-16
6fdd77fc-3e13-49ba-9784-4dec91cea64b,FP542TG,40,2023-07-16
e5207b9a-839c-4962-9096-953c44bea145,FP542TG,10,2023-07-16
35da6b19-f396-42c3-b740-c0108fe1f37a,FP542TG,7,2023-07-16
e61778cd-c31e-4160-a430-d2f451e53e02,FP542TG,1,2023-07-16
390be89d-ab6c-4d43-9e1a-98b9a7eb42d4,FP542TG,2,2023-07-16

Sale Transactions Data
Transaction ID,Product ID,Quantity,Date
025c2a07-3529-44f1-b9f8-cf0677601ef0,FP987KS,3,2023-07-09
d68bb778-723f-4dfc-931d-a7d337e772b7,NF986OH,10,2023-07-11
1b004560-1101-4caf-a449-d12e776fea53,FP845OP,46,2023-07-13
0f5286dd-a730-46ab-9952-3ff6f966122b,FP845OP,48,2023-07-13
f6fc07f4-73dd-4230-8419-5201b2c6c822,NF456YG,2,2023-07-14
abb42491-a524-4486-bc15-d548b78ca3e8,NF456YG,2,2023-07-14
91e32af7-6efc-46c3-99c2-a378537a49fa,NF456YG,1,2023-07-14
13058f12-8b1c-49ac-b953-109cac77dd4e,NF456YG,2,2023-07-14
fdb5bcc7-e503-4cfa-85bc-a45721391583,NF456YG,7,2023-07-14
f3e3ae92-85d7-4cfd-9970-45536b189dcb,FP123LP,5,2023-07-16
2b26b3dc-2ae0-4f92-bbd0-c62a3728347d,FP123LP,2,2023-07-16
e17ec4db-f0fa-417d-8ce7-50d548dbf8c8,FP123LP,1,2023-07-16
bb1af87a-64ee-4004-bab5-19e6806aa16e,FP123LP,20,2023-07-16
20747fbf-c233-4483-b0a0-e46f1308225b,FP542TG,2,2023-07-16
c3ae938a-09be-4efe-af78-203317a28e0b,FP542TG,7,2023-07-16
844b06c6-9633-4a19-9a5b-e2d61148ada1,FP542TG,6,2023-07-16
6895ea81-8b75-4b3a-b1ea-8ae7c22ca6c4,FP542TG,12,2023-07-16
