Current Inventory Data
Product ID,Product Name,Quantity in stock,Cost price,Restock date,Quantity bought for restock,Retail price,Sold since restock,Expiration date
FP987KS,De Zaanse Hoeve Halfvolle melk 1lt,26,0.21,2023-07-09,23,0.99,0,2022-11-02
NF842FV,"Pampers Premium Protection Maat 4, x24 Luiers",13,3.29,2023-07-09,4,9.40,0,-
FP542TG,Uncle Ben's Long Grain Rice 500gr,44,0.39,2023-07-16,12,0.99,2,2024-05-22
FP123LP,JOZO Iodized Salt Fine 1kg,98,0.13,2023-07-09,154,0.98,8,-
NF654KJ,Edet Comfort 3-Laags 12 + 4 Gratis,150,4.32,2023-07-09,74,7.98,0,-
NF986OH,Paracetamol HTP 500mg,97,0.25,2023-07-09,79,1.31,0,2025-11-12
FP845OP,Hagelslag puur 600gr,6,0.79,2023-07-13,50,2.49,0,2023-07-20
FP845OP,Hagelslag puur 600gr,2,0.79,2023-07-13,2,2.49,0,2024-05-28
NF456YG,Marcel's Green Soap Wasmiddel 1Lt,36,5.10,2023-07-14,50,9.99,14,-
FP845OP,Hagelslag puur 600gr,25,0.79,2023-07-14,25,2.49,0,2023-07-13
FP447KT,Vrieslollies 10st,50,0.11,2023-07-18,50,0.99,0,2023-8-12
NF156OP,Duracell Alkaline Plus AA 6ce,150,2.31,2023-07-18,150,10.28,0,-
FP785YT,Zoete Puntpaprika 500g,35,0.21,2023-07-18,35,3.3,0,2023-9-07
FP156ER,Jumbo Mozzarella 220g,25,0.15,2023-07-18,25,3.0,0,2023-12-07
NF156UY,Mr Muscle Keukenreiniger Spray,40,1.65,2024-01-23,20,3.16,0,-
NF354ER,"Napoli Kookpan 20 cm 3, 1L",50,13.59,2023-07-18,50,23.99,0,-
FP879SD,Framboos Fruitspread 290g,90,2.59,2023-07-30,56,,50,2025-03-12
NF751ID,Keukenpapier Extra Sterk 4 Rollen,50,2.99,2023-07-28,50,,0,-
FP752TR,Bakes Boerencake 800g,40,1.9,2024-01-23,0,2.49,0,2023-12-12
FP567FT,Jumbo Kaasstengels 150g,50,0.21,2023-07-30,0,1.19,0,2023-12-30
NF985UI,Lenor In-Wash Geurbooster 154g,92,1.98,2023-07-30,20,4.00,150,-
FP321SD,Goudse Kaas 48+ Geraspt Mild 250g,68,1.54,2023-07-30,20,3.36,73,2023-12-07
FP321SD,Goudse Kaas 48+ Geraspt Mild 250g,70,1.54,2023-07-30,23,3.36,73,2023-11-07

Buying Transactions Data
Transaction ID,Product ID,Quantity,Date
3b7e15c7-823d-498a-ad0b-70081c07536c,NF842FV,7,2023-07-09
4bdd272d-c89e-4c9a-81a4-879014f2df97,NF842FV,2,2023-07-09
0d910319-581f-4278-adb0-1470f4ebcb86,NF986OH,100,2023-07-11
f53d42f5-3056-421d-89f3-f59ac33e1216,FP845OP,50,2023-07-13
ac1c98cc-f5b9-497b-b786-878384fc07ea,FP845OP,2,2023-07-13
bce11d7a-8d6d-4bbb-9f18-cba49be26dda,FP845OP,25,2023-07-14
02bc94a6-9c50-47a7-a393-3a5a4dda1326,NF456YG,12,2023-07-14
1cff0bdf-937e-4e4c-a97d-59ac4027da00,FP542TG,5,2023-07-16
4b0d6f3c-feff-4999-aac5-bb60d98d9de8,FP542TG,10,2023-07-16
6fdd77fc-3e13-49ba-9784-4dec91cea64b,FP542TG,40,2023-07-16
e5207b9a-839c-4962-9096-953c44bea145,FP542TG,10,2023-07-16
35da6b19-f396-42c3-b740-c0108fe1f37a,FP542TG,7,2023-07-16
e61778cd-c31e-4160-a430-d2f451e53e02,FP542TG,1,2023-07-16
390be89d-ab6c-4d43-9e1a-98b9a7eb42d4,FP542TG,2,2023-07-16
17055256-0e2f-4fd4-92bc-6584484130d5,NF156UY,50,2023-11-24
e8feb621-775e-447e-86eb-15892f5fcbf7,FP752TR,25,2024-01-23
34718701-d409-4470-84cc-f3f114f068a0,FP879SD,50,2024-01-23
0b30532c-965f-4759-bf9e-96b48115a67c,NF156UY,20,2024-01-23
6112c636-ea03-42ae-a134-f08fa953aff1,FP321SD,50,2024-01-23
ae185ebd-134d-4b79-b01b-93996bc4b95f,FP321Su,50,2024-01-23
28fb8494-5a68-417e-916a-055ead7eb473,FP752TR,20,2024-01-23
d32f7d90-eb78-4c7f-a8b2-556c39db9bec,FP752TR,15,2024-01-23
45a81114-41a6-4ff6-899e-59fb033e61df,NF765GH,25,2024-01-23
071b5241-0370-4c19-b6c9-ca6edcdbcde8,NF985UI,100,2023-07-30
b5ff128b-3cd4-418e-b7ce-595b1707e5b2,NF985UI,10,2023-07-30
ad27c3ee-edb9-4c45-ad90-4c79d32fe54e,FP879SD,10,2023-07-30
a3b521cf-62ea-4a8b-b774-1944fc2378d1,FP879SD,10,2023-07-30
85954ac4-e435-4745-a73b-748f3bc572cf,FP879SD,20,2023-07-30
3442ed7f-4dc0-456c-b5b4-06efe67f9d73,NF985UI,10,2023-07-30
